,5-9 yr,10-14 yr,15-19 yr,20-24 yr,25-29 yr,30-34 yr,35-39 yr,40-44 yr,45-49 yr,50-54 yr,55-59 yr,60-64 yr,65-69 yr,70-74 yr,75-79 yr,80-84 yr,>=85 yr
40,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
39,98,96,82,79,88,80,82,84,87,89,89,95,97,98,99,99,99
38,94,74,60,51,61,57,59,60,70,85,73,80,88,91,96,98,99
37,92,57,40,32,40,37,42,39,49,69,51,66,76,86,87,94,98
36,84,42,23,29,27,21,28,26,22,44,34,53,68,77,81,92,95
35,71,31,14,7,16,16,18,17,16,33,28,38,59,70,73,89,92
34,64,23,9,6,9,11,10,15,6,25,23,29,44,63,69,85,90
33,58,16,7,5,5,7,5,11,6,17,18,21,39,55,57,80,86
32,51,10,6,0,0,5,0,10,5,14,14,18,30,44,50,75,86
31,42,7,5,0,0,0,0,7,0,9,13,15,26,39,49,69,82
30,39,6,0,0,0,0,0,5,0,6,13,14,19,34,42,66,76
29,35,5,0,0,0,0,0,0,0,5,13,13,18,29,38,62,72
28,31,0,0,0,0,0,0,0,0,0,10,10,16,24,37,60,68
27,30,0,0,0,0,0,0,0,0,0,10,9,16,21,34,54,65
26,24,0,0,0,0,0,0,0,0,0,10,6,15,17,31,48,62
25,23,0,0,0,0,0,0,0,0,0,9,5,14,17,29,46,58
24,20,0,0,0,0,0,0,0,0,0,6,0,11,16,29,41,57
23,17,0,0,0,0,0,0,0,0,0,5,0,10,16,25,38,49
22,16,0,0,0,0,0,0,0,0,0,0,0,8,14,24,33,44
21,15,0,0,0,0,0,0,0,0,0,0,0,8,14,21,31,40
20,14,0,0,0,0,0,0,0,0,0,0,0,8,11,21,28,38
19,11,0,0,0,0,0,0,0,0,0,0,0,7,10,19,23,28
18,10,0,0,0,0,0,0,0,0,0,0,0,5,9,16,22,26
17,8,0,0,0,0,0,0,0,0,0,0,0,0,9,16,17,23
16,8,0,0,0,0,0,0,0,0,0,0,0,0,9,11,16,18
15,6,0,0,0,0,0,0,0,0,0,0,0,0,7,9,14,15
14,5,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
