,5-9 yr,10-14 yr,15-19 yr,20-24 yr,25-29 yr,30-34 yr,35-39 yr,40-44 yr,45-49 yr,50-54 yr,55-59 yr,60-64 yr,65-69 yr,70-74 yr,75-79 yr,80-84 yr,>=85 yr
40,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
39,98,94,77,90,89,85,87,91,90,95,93,97,97,99,99,99,99
38,94,81,59,68,73,70,64,75,70,89,82,92,93,95,98,99,99
37,93,71,44,50,54,53,50,53,58,73,70,78,83,90,95,99,99
36,90,59,35,31,37,37,36,43,49,60,56,66,71,83,87,99,95
35,83,52,26,22,23,25,27,26,31,41,42,56,64,77,74,97,95
34,80,44,17,16,15,18,19,21,22,33,33,47,54,74,65,93,89
33,76,32,11,14,10,11,12,17,15,30,27,34,44,66,53,85,86
32,69,28,8,11,7,10,9,13,11,21,23,26,44,62,44,78,84
31,63,19,6,7,5,8,6,11,10,19,23,22,41,58,35,71,81
30,59,15,5,6,0,7,5,8,10,18,23,21,36,52,35,65,81
29,49,12,0,5,0,5,0,6,7,14,19,15,31,48,34,63,75
28,45,10,0,0,0,0,0,6,6,14,18,15,31,42,32,63,74
27,36,5,0,0,0,0,0,6,5,10,18,13,27,36,31,56,68
26,34,0,0,0,0,0,0,5,0,8,12,13,24,34,29,50,63
25,29,0,0,0,0,0,0,0,0,8,12,13,20,30,27,47,60
24,25,0,0,0,0,0,0,0,0,8,11,13,20,25,27,46,54
23,23,0,0,0,0,0,0,0,0,6,11,13,17,23,24,43,47
22,21,0,0,0,0,0,0,0,0,5,11,11,15,23,25,40,44
21,17,0,0,0,0,0,0,0,0,0,7,11,10,18,23,40,44
20,17,0,0,0,0,0,0,0,0,0,5,11,8,16,21,34,44
19,15,0,0,0,0,0,0,0,0,0,0,11,7,14,18,31,42
18,10,0,0,0,0,0,0,0,0,0,0,11,7,13,15,28,40
17,6,0,0,0,0,0,0,0,0,0,0,9,7,13,11,25,40
16,5,0,0,0,0,0,0,0,0,0,0,5,5,10,11,24,37
15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,19,32
14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,18,32
13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,16,28
12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,25
11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,21
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
